Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
"Demon Lord, Baphomet",Huge,fiend (demon),chotic evil,22,275,40 ft.,30,14,26,18,24,16,"Dex, Con, Wis","Intimidation, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23,"Charge, Innate Spellcasting, Labyrinthine Recall, Legendary, Magic Resistance, Magic Weapons, Reckless, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Demogorgon",Huge,fiend (demon),chotic evil,22,406,"50 ft., swim 50 ft.",29,14,26,20,17,25,"Dex, Con, Wis, Cha","Insight, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",26,"Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Two Heads",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Fraz-Urb'Luu",Large,fiend (demon),chotic evil,18,337,"40 ft., fly 40 ft.",29,12,25,26,24,26,"Dex, Con, Int, Wis","Deception, Perception, Stealth","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Undetectable",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Graz'Zt",Large,"fiend (demon, shapechager)",chotic evil,20,346,40 ft.,22,15,21,23,21,26,"Dex, Con, Wis","Deception, Insight, Perception, Persuasion","COldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",24,"Shapechanger, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Juiblex",Huge,fiend (demon),chotic evil,18,350,30 ft.,24,10,23,20,20,16,"Dex, Con, Wis",Perception,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu, unconsciousimmu",Truesight 120,"All, telepathy 120",23,"Foul, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Spider Climb",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Orcus",Huge,fiend (demon),chotic evil,20,405,"40 ft., fly 40 ft.",27,14,25,20,20,25,"Dex, Con, Wis","Arcana, Perception","Coldres, fireres, lightningres, necroticimmu, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",26,"Wand of Orcus, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Master of Undeath",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Yeenoghu",Huge,fiend (demon),chotic evil,20,333,50 ft.,29,16,23,15,24,15,"Dex, Con, Wis","Intimidation, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",24,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Rampage",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Zuggtmoy",Large,fiend (demon),chotic evil,18,304,30 ft.,22,15,18,20,19,24,"Dex, Con, Wis",Perception,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Abyssal Wretch",Medium,fiend (demon),chotic evil,11,18,20 ft.,9,12,11,5,8,5,,,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,1/4,,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Alkilith",Medium,fiend (demon),chotic evil,17,157,40 ft.,12,19,22,6,11,7,"Dex, Con",Stealth,"Acidres, coldres, fireres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,11,"Amorphous, False Appearance, Foment Madness, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Armanite",Large,fiend (demon),chotic evil,16,84,60 ft.,21,18,21,8,12,13,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",7,"Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Babau",Medium,fiend (demon),chotic evil,16,82,40 ft.,19,16,16,11,12,13,,"Perception, Stealth","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,Abyssal,4,Innate Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Balor",Huge,fiend (demon),chotic evil,19,262,"40 ft., fly 80 ft.",26,15,22,20,16,22,"Str, Con, Wis, Cha",,"coldres, lightningres, nonmagicalres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",19,"Death Throes, Fire Aura, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
"Demon, Barlgura",Large,fiend (demon),chotic evil,15,68,"30 ft., climb 30 ft.",18,15,16,7,14,9,"Dex, Con","Perception, Stealth","Coldres, fireres, lightningres, poisonimmu, poisonedimmu","Blindsight 30, Darkvision 120","Abyssal, telepathy 120",5,"Innate Spellcasting, Reckless, Running Leap",Monster Manual,,Wizards of the Coast
"Demon, Bulezau",Medium,fiend (demon),chotic evil,14,52,40 ft.,15,14,17,8,9,6,,,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 60",3,"Rotting Presence, Standing Leap, Sure-Footed",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Chasme",Large,fiend (demon),chotic evil,15,84,"20 ft., fly 60 ft.",15,15,12,11,14,10,"Dex, Wis",Perception,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu","Blindsight 10, darkvision 120","Abyssal, telepathy 120",6,"Drone, Magic Resistance, Spider Climb",Monster Manual,,Wizards of the Coast
"Demon, Draegloth",Large,fiend (demon),chotic evil,15,123,30 ft.,20,15,18,13,11,11,,"Perception, Stealth","COldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, Undercommon",7,"Fey Ancestry, Innate Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Dretch",small,fiend (demon),chotic evil,11,18,20 ft.,11,11,12,5,8,3,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",1/4,,Monster Manual,,Wizards of the Coast
"Demon, Dybbuk",Medium,fiend (demon),chotic evil,14,37,fly 40 ft.,6,19,16,16,15,14,,"Deception, Intimidation, Perception","Acidres, coldres, fireres, lightiningres, thunderres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restraindeimmu",Darkvision 120,"Abyssal, Common, telepathy 120",4,"Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Glabrezu",Large,fiend (demon),chotic evil,17,157,40 ft.,20,15,21,19,17,16,"Str, Con, Wis, Cha",,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",9,"Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Demon, Goristro",Huge,fiend (demon),chotic evil,19,310,40 ft.,25,11,25,6,13,14,"Str, Dex, Con, Wis",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,Abyssal,17,"Charge, Labyrinthine Recall, Magic Resistance, Siege",Monster Manual,,Wizards of the Coast
"Demon, Hezrou",Large,fiend (demon),chotic evil,16,136,30 ft.,19,17,20,5,12,13,"Str, Con, Wis",,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",8,"Magic Resistance, Stench",Monster Manual,,Wizards of the Coast
"Demon, Manes",Small,fiend (demon),chotic evil,9,9,20 ft.,10,9,13,3,8,4,,,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,1/8,,Monster Manual,,Wizards of the Coast
"Demon, Marilith",Large,fiend (demon),chotic evil,18,189,40 ft.,18,20,20,18,16,20,"Str, Con, Wis, Cha",,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",16,"Magic Resistance, Magic Weapons, Reactive",Monster Manual,,Wizards of the Coast
"Demon, Maurezhi",Medium,fiend (demon),chotic evil,15,88,30 ft.,14,17,12,11,12,15,,Deception,"Coldres, fireres, lightningres, necroticres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, telepathy 120",7,"Assume Form, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Maw",Medium,fiend (demon),chotic evil,13,33,30 ft.,14,8,13,5,8,5,,,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,1,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Molydeus",Huge,fiend (demon),chotic evil,19,216,40 ft.,28,22,25,21,24,24,"Str, Con, Wis, Cha",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, poisonedimmu, stunnedimmu",Truesight 120,"Abyssal, telepathy 120",21,"Innate Spellcasting, Legendary, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Nabassu",Medium,fiend (demon),chotic evil,18,190,"40 ft., fly 60 ft.",22,14,21,14,15,17,"Str, Dex",Perception,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 120",15,"Demonic Shadows, Devour Soul, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Nalfeshnee",Large,fiend (demon),lawful evil,18,184,"20 ft., fly 30 ft.",21,10,22,19,12,15,"Con, Int, Wis, Cha",,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",13,Magic Resistance,Monster Manual,,Wizards of the Coast
"Demon, Quasit",Tiny,fiend (demon),chotic evil,13,7,40 ft.,5,17,10,7,10,10,,Stealth,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Common",1,"Shapechanger, Magic Resistance",Monster Manual,,Wizards of the Coast
"Demon, Rutterkin",Medium,fiend (demon),chotic evil,12,37,20 ft.,14,15,17,5,12,6,,,"COldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,2,Crippling Fear,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Shadow",Medium,fiend (demon),chotic evil,13,66,"30 ft., fly 30 ft.",1,17,12,14,13,14,"Dex, Cha",Stealth,"Radiantweak, acidres, fireres, necroticres, thunderres, nonmagicalres, coldimmu, lightningimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 120,"Abyssal, telepathy 120",4,"Incorporeal Movement, Light Sensitivity, Shadow Stealth",Monster Manual,,Wizards of the Coast
"Demon, Shoosuva",Large,fiend (demon),chotic evil,14,110,40 ft.,18,13,17,7,14,9,"Dex, Con, Wis",,"COldres, fireres, lightningres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,"Abyssal, Gnoll, telepathy 120",8,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Demon, Sibriex",Huge,fiend (demon),chotic evil,19,150,fly 20 ft.,10,3,23,25,24,25,"Int, Cha","Arcana, History, Perception","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"All, telepathy 120",18,"Contamination, Innate Spellcasting, Legendary, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Vrock",Large,fiend (demon),chotic evil,15,104,"40 ft., fly 60 ft.",17,15,18,8,13,8,"Dex, Wis, Cha",,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",6,Magic Resistance,Monster Manual,,Wizards of the Coast
"Demon, Wastrilith",Large,fiend (demon),chotic evil,18,157,"30 ft., swim 80 ft.",19,18,21,19,12,14,"Str, Con",,"Coldres, fireres, lightningres, nonmagicalres, poisonres, poisonedres",Darkvision 120,"Abyssal, telepathy 120",13,"Amphibious, Corrupt Water, Magic Resistance, Undertow",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon, Yochlol",Medium,fiend (demon),chotic evil,15,136,"30 ft., climb 30 ft.",15,14,18,13,15,15,"Dex, Int, Wis, Cha","Deception, Insight","Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, Elvish, Undercommon",10,"Shapechanger, Magic Resistance, Spider Climb, Innate Spellcasting, Web Walker",Monster Manual,,Wizards of the Coast
Derro,Small,humanoid (derro),chotic evil,13,13,30 ft.,10,14,12,11,5,9,,Stealth,,Darkvision 120,"Dwarvish, Undercommon",1/4,"Magic Resistance, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Derro Savant,Small,humanoid (derro),chotic evil,13,36,30 ft.,9,14,12,11,5,14,,Stealth,,Darkvision 120,"Dwarvish, Undercommon",3,"Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Black",Medium,fiend (devil),lawful evil,15,58,"30 ft., fly 40 ft.",14,17,14,13,16,11,"Dex, Wis","Perception, Stealth","COldres, nonmagicalres, nonsilveredres, acidimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",7,"Devil's Sight, Magic Resistance, Magic Weapons, Shadow Stealth",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Blue",Medium,fiend (devil),lawful evil,19,195,"30 ft., fly 50 ft.",15,14,17,22,23,18,"Int, Wis",Arcana,"Coldres, nonmagicalres, nonsilveredres, fireimmu, lightiningimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",17,"Devil's Sight, Magic Resistance, Magic Weapons, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Green",Medium,fiend (devil),lawful evil,18,187,"30 ft., fly 40 ft.",12,17,16,17,12,19,"Int, Cha","Deception, Insight, Perception, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",15,"Devil's Sight, Innate Spellcasting, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, Red",Medium,fiend (devil),lawful evil,22,255,"30 ft., fly 50 ft.",23,16,19,14,15,19,"Str, Con, Wis","Intimidation, Perception","COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",19,"Devil's SIght, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Abishai, White",Medium,fiend (devil),lawful evil,15,68,"30 ft., fly 40 ft.",16,11,18,11,12,13,"Str, Con",,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Draconic, Infernal, telepathy 120",6,"Devil's Sight, Magic Resistance, Magic Weapons, Reckless",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Amnizu",Medium,fiend (devil),lawful evil,21,202,"30 ft., fly 40 ft.",11,13,16,20,12,18,"Dex, Con, Wis, Cha",Perception,"COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, poisonedimmu",Darkvision 120,"Common, Infernal, telepathy 1000",18,"Devil's Sight, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Bael",Large,fiend (devil),lawful evil,18,189,30 ft.,24,17,20,21,24,24,"Dex, Con, Int, Cha","Intimidation, Perception, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",19,"Dreadful, Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons, Regeneration, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Geryon",Huge,fiend (devil),lawful evil,19,300,"30 ft., fly 50 ft.",29,17,22,19,16,23,"Dex, Con, Wis, Cha","Deception, Intimidation, Perception","Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",22,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Hutijin",Large,fiend (devil),lawful evil,19,200,"30 ft., fly 60 ft.",27,15,25,23,19,25,"Dex, Con, Wis","Intimidation, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",21,"Infernal Despair, Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Moloch",Large,fiend (devil),lawful evil,19,253,30 ft.,26,19,22,21,18,23,"Dex, Con, Wis, Cha","Deception, Intimidation, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",21,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Titivilus",Medium,fiend (devil),lawful evil,20,127,"40 ft., fly 60 ft.",19,22,17,24,22,26,"Dex, Con, Wis, Cha","Deception, Insight, Intimidation, Persuasion","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",16,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Ventriloquism",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Arch, Zariel",Large,fiend (devil),lawful evil,21,580,"50 ft., fly 150 ft.",27,24,28,26,27,30,"Int, Wis, Cha","Intimidation, Perception","Coldres, fireres, radiantres, nonmagicalres, nonsilveredres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"All, telepathy 120",26,"Devil's Sight, Fiery Weapons, Innate Spellcasting, Legendary, Lair, Magic Resistance, Regeneration",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Barbed",Medium,fiend (devil),lawful evil,15,110,30 ft.,16,17,18,12,14,14,"Str, Con, Wis, Cha","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",5,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Bearded",Medium,fiend (devil),lawful evil,13,52,30 ft.,16,15,15,9,11,11,"Str, Con, Wis",,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual,,Wizards of the Coast
"Devil, Bone",Large,fiend (devil),lawful evil,19,142,"40 ft., fly 40 ft.",18,16,18,13,14,16,"Int, Wis, Cha","Deception, Insight","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",9,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Chain",Medium,fiend (devil),lawful evil,16,85,30 ft.,18,15,18,11,12,14,"Con, Wis, Cha",,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",8,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Erinyes",Medium,fiend (devil),lawful evil,18,153,"30 ft., fly 60 ft.",18,16,18,14,14,18,"Dex, Con, Wis, Cha",,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Infernal, telepathy 120",12,"Hellish Weapons, Magic Resistance",Monster Manual,,Wizards of the Coast
"Devil, Hellfire Engine",Huge,construct,lawful evil,18,216,40 ft.,20,16,24,2,10,1,"Dex, Wis, Cha",,"Coldres, psychicres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, unconsciousimmu",Darkvision 120,Infernal,16,"Immutable Form, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Devil, Horned",Large,fiend (devil),lawful evil,18,178,"20 ft., fly 60 ft.",22,17,21,12,16,17,"Str, Dex, Wis, Cha",,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",11,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
